TF,Differentiated-like,Progenitor-like,Invasive-high OPC/NPC1
AR,3,1,1
ARID3A,5,0,0
ARNT2,1,1,3
ARX,0,2,3
ASCL1,0,0,5
ATF3,4,1,0
ATF6,4,1,0
ATF7,1,2,2
BACH1,4,1,0
BACH2,4,1,0
BCL11A,4,1,0
BCL6,5,0,0
BHLHE40,4,1,0
BHLHE41,3,0,2
BNC2,4,1,0
BRCA1,1,1,3
CEBPB,5,0,0
CEBPD,5,0,0
CEBPG,4,1,0
CEBPZ,4,1,0
CHD1,4,0,1
CHD2,4,0,1
CHURC1,5,0,0
CPEB1,0,1,4
CPSF4,4,1,0
CREB5,0,2,3
CREM,4,0,1
CUX1,2,1,2
CUX2,0,2,3
DLX1,0,2,3
DRAP1,4,1,0
E2F1,0,0,5
E2F2,1,0,4
E2F3,5,0,0
E2F7,3,0,2
E2F8,1,1,3
EGR1,5,0,0
EGR2,4,0,1
EGR3,5,0,0
ELF2,2,2,1
ELK3,5,0,0
EP300,5,0,0
ETS1,5,0,0
ETS2,5,0,0
ETV1,3,0,2
ETV5,3,1,1
ETV6,5,0,0
EZH2,3,1,1
FLI1,5,0,0
FOS,4,1,0
FOSB,4,1,0
FOSL1,4,1,0
FOSL2,4,1,0
FOXC1,3,1,1
FOXG1,3,1,1
FOXN2,0,2,3
FOXO1,3,1,1
FOXO3,5,0,0
GATAD1,4,0,1
GATAD2A,5,0,0
GLI3,5,0,0
GLIS3,5,0,0
GMEB1,4,0,1
HAND2,0,2,3
HBP1,4,1,0
HDAC2,0,3,2
HDAC8,2,1,2
HES1,4,1,0
HIF1A,5,0,0
HMGA1,5,0,0
HMGA2,3,1,1
HMGXB3,4,1,0
HNF4G,0,1,4
HOXB3,0,3,2
HOXD10,0,1,4
HOXD3,0,0,5
HTATIP2,0,2,3
ID4,2,0,3
IKZF1,5,0,0
IKZF2,0,1,4
IKZF3,2,0,3
ILF3,4,0,1
IRF1,1,1,3
IRF5,4,0,1
IRF8,4,0,1
JDP2,4,1,0
JUN,4,1,0
JUNB,4,1,0
KLF10,4,0,1
KLF12,1,0,4
KLF2,5,0,0
KLF6,5,0,0
KLF7,4,1,0
KLF9,4,1,0
LEF1,4,0,1
LHX2,1,2,2
LHX6,0,3,2
LIN28B,0,2,3
MAF,4,1,0
MAFB,4,1,0
MAFF,4,1,0
MAFG,4,1,0
MECP2,4,1,0
MEF2A,5,0,0
MEF2C,4,1,0
MEIS1,0,1,4
MEOX2,0,0,5
MITF,0,1,4
MSX1,1,2,2
MTA3,4,1,0
MXD1,3,1,1
MXI1,0,2,3
NCALD,0,1,4
NEUROD2,1,2,2
NF1,2,1,2
NFATC2,4,1,0
NFATC3,5,0,0
NFE2L2,4,1,0
NFIA,2,1,2
NFIB,2,1,2
NFIC,4,1,0
NFIX,0,1,4
NKX6-2,0,1,4
NR2F1,0,1,4
NR3C1,4,1,0
NR3C2,4,1,0
OLIG1,0,0,5
OLIG2,0,0,5
PBX1,0,1,4
PBX3,1,2,2
PDLIM5,5,0,0
PHF20,5,0,0
PHTF1,0,2,3
PIR,3,1,1
PLAG1,4,1,0
PLAGL1,3,2,0
PML,0,3,2
POLR3A,4,1,0
POU2F2,0,2,3
POU3F2,0,2,3
POU6F2,0,1,4
PRDM16,3,1,1
PRRX1,3,1,1
RB1,5,0,0
RCOR1,4,0,1
RFX2,4,1,0
RFX3,3,1,1
RFX4,3,1,1
RFX7,3,1,1
RORA,4,0,1
RUNX1,5,0,0
RXRA,3,1,1
RXRG,3,0,2
SF1,3,2,0
SMAD1,2,1,2
SMAD2,4,1,0
SMAD3,4,1,0
SMARCC1,4,1,0
SOX10,0,1,4
SOX11,0,1,4
SOX13,0,1,4
SOX2,2,1,2
SOX4,0,1,4
SOX5,2,1,2
SOX6,2,1,2
SOX9,3,1,1
SP3,5,0,0
SPI1,5,0,0
SREBF1,0,1,4
SREBF2,1,1,3
STAT1,5,0,0
STAT2,2,1,2
STAT6,4,0,1
TAL1,1,2,2
TBX15,3,0,2
TCF12,0,1,4
TCF3,0,0,5
TCF4,0,1,4
TCF7L1,3,1,1
TEAD1,4,1,0
TFAP2A,0,1,4
TFDP2,0,2,3
TFEB,0,1,4
TFEC,3,0,2
THRB,4,0,1
TRIM28,2,0,3
UBE2K,1,3,1
VSX1,1,1,3
WT1,4,1,0
ZBTB20,0,1,4
ZBTB21,4,1,0
ZBTB44,0,1,4
ZBTB7A,4,0,1
ZEB1,4,0,1
ZEB2,0,0,5
ZIC1,3,1,1
ZNF100,0,1,4
ZNF12,4,1,0
ZNF207,5,0,0
ZNF235,1,0,4
ZNF254,3,1,1
ZNF26,4,1,0
ZNF280D,0,1,4
ZNF385D,0,2,3
ZNF398,5,0,0
ZNF43,1,1,3
ZNF436,2,1,2
ZNF462,0,2,3
ZNF518A,4,0,1
ZNF519,0,2,3
ZNF562,3,0,2
ZNF586,4,0,1
ZNF644,3,2,0
ZNF69,4,0,1
ZNF697,1,0,4
ZNF704,0,1,4
ZNF711,0,1,4
ZNF721,4,1,0
ZNF814,0,1,4
ZNF83,0,1,4
ZNF875,4,0,1
ZNF90,0,0,5
ZNF91,1,0,4
ZNF98,3,1,1
