Group,Sample,Chr7,Chr10,Label
6425_A_BV,6425_A,1.049408341,0.947639873,Normal
6425_A_Malignant,6425_A,1.093911556,0.813211968,Malignant
6425_A_Neuron,6425_A,0.950591659,1.052360127,Normal
6425_B_Astrocyte,6425_B,0.997086191,0.967517337,Normal
6425_B_BV,6425_B,0.98928557,1.005419838,Normal
6425_B_Malignant,6425_B,1.083535992,0.818853693,Malignant
6425_B_Myeloid,6425_B,1.01071443,1.010779655,Normal
6425_B_Neuron,6425_B,1.01071443,0.994580162,Normal
6425_B_Oligodendrocyte,6425_B,1.01071443,0.989707124,Normal
6425_B_OPC,6425_B,1.006492728,0.963344866,Normal
