TF,Differentiated-like,Progenitor-like,Invasive-high OPC/NPC1
AR,3,1,1
ARID3A,3,1,1
ARNT2,0,3,2
ARX,2,3,0
ASCL1,0,0,5
ATF3,5,0,0
ATF6,1,3,1
ATF7,0,5,0
BACH1,2,3,0
BACH2,0,3,2
BCL11A,0,2,3
BCL6,4,1,0
BHLHE40,5,0,0
BHLHE41,5,0,0
BNC2,3,2,0
BRCA1,0,3,2
CEBPB,5,0,0
CEBPD,5,0,0
CEBPG,5,0,0
CEBPZ,2,1,2
CHD1,2,2,1
CHD2,1,3,1
CHURC1,5,0,0
CPEB1,0,4,1
CPSF4,4,1,0
CREB5,0,3,2
CREM,4,1,0
CUX1,0,3,2
CUX2,0,2,3
DLX1,3,2,0
DRAP1,5,0,0
E2F1,0,3,2
E2F2,1,3,1
E2F3,0,5,0
E2F7,0,3,2
E2F8,0,5,0
EGR1,5,0,0
EGR2,4,0,1
EGR3,5,0,0
ELF2,0,3,2
ELK3,4,1,0
EP300,1,3,1
ETS1,3,1,1
ETS2,0,4,1
ETV1,0,0,5
ETV5,0,2,3
ETV6,1,4,0
EZH2,0,5,0
FLI1,2,2,1
FOS,5,0,0
FOSB,4,1,0
FOSL1,4,1,0
FOSL2,4,1,0
FOXC1,4,1,0
FOXG1,0,3,2
FOXN2,0,2,3
FOXO1,3,2,0
FOXO3,1,3,1
GATAD1,2,2,1
GATAD2A,3,1,1
GLI3,3,2,0
GLIS3,3,2,0
GMEB1,2,3,0
HAND2,4,1,0
HBP1,3,1,1
HDAC2,0,3,2
HDAC8,0,3,2
HES1,5,0,0
HIF1A,4,1,0
HMGA1,5,0,0
HMGA2,3,2,0
HMGXB3,3,2,0
HNF4G,1,4,0
HOXB3,1,0,4
HOXD10,0,0,5
HOXD3,0,1,4
HTATIP2,0,4,1
ID4,5,0,0
IKZF1,0,3,2
IKZF2,0,3,2
IKZF3,1,1,3
ILF3,0,2,3
IRF1,4,0,1
IRF5,1,4,0
IRF8,0,4,1
JDP2,0,3,2
JUN,5,0,0
JUNB,5,0,0
KLF10,5,0,0
KLF12,0,2,3
KLF2,4,0,1
KLF6,5,0,0
KLF7,0,5,0
KLF9,3,0,2
LEF1,1,4,0
LHX2,0,2,3
LHX6,0,3,2
LIN28B,0,1,4
MAF,0,3,2
MAFB,5,0,0
MAFF,5,0,0
MAFG,5,0,0
MECP2,0,3,2
MEF2A,0,4,1
MEF2C,0,3,2
MEIS1,0,0,5
MEOX2,0,0,5
MITF,0,3,2
MSX1,2,2,1
MTA3,0,3,2
MXD1,5,0,0
MXI1,0,3,2
NCALD,0,1,4
NEUROD2,3,0,2
NF1,0,3,2
NFATC2,2,3,0
NFATC3,0,3,2
NFE2L2,3,2,0
NFIA,0,2,3
NFIB,0,2,3
NFIC,2,1,2
NFIX,0,3,2
NKX6-2,0,2,3
NR2F1,0,2,3
NR3C1,0,4,1
NR3C2,0,3,2
OLIG1,0,1,4
OLIG2,0,0,5
PBX1,0,2,3
PBX3,0,5,0
PDLIM5,3,2,0
PHF20,0,4,1
PHTF1,0,4,1
PIR,2,3,0
PLAG1,4,1,0
PLAGL1,0,5,0
PML,4,0,1
POLR3A,0,3,2
POU2F2,0,3,2
POU3F2,2,0,3
POU6F2,0,2,3
PRDM16,1,3,1
PRRX1,3,2,0
RB1,0,4,1
RCOR1,2,2,1
RFX2,3,2,0
RFX3,0,3,2
RFX4,3,2,0
RFX7,0,3,2
RORA,0,1,4
RUNX1,2,3,0
RXRA,1,1,3
RXRG,0,3,2
SF1,3,2,0
SMAD1,2,3,0
SMAD2,0,3,2
SMAD3,3,2,0
SMARCC1,0,1,4
SOX10,0,2,3
SOX11,0,1,4
SOX13,0,0,5
SOX2,5,0,0
SOX4,0,1,4
SOX5,0,3,2
SOX6,0,2,3
SOX9,5,0,0
SP3,0,4,1
SPI1,3,1,1
SREBF1,2,3,0
SREBF2,0,0,5
STAT1,3,1,1
STAT2,3,2,0
STAT6,1,3,1
TAL1,0,5,0
TBX15,0,2,3
TCF12,0,2,3
TCF3,0,0,5
TCF4,0,1,4
TCF7L1,1,1,3
TEAD1,0,5,0
TFAP2A,0,5,0
TFDP2,0,2,3
TFEB,0,2,3
TFEC,1,3,1
THRB,0,3,2
TRIM28,5,0,0
UBE2K,1,3,1
VSX1,0,2,3
WT1,2,1,2
ZBTB20,0,3,2
ZBTB21,5,0,0
ZBTB44,0,3,2
ZBTB7A,2,3,0
ZEB1,0,1,4
ZEB2,0,2,3
ZIC1,3,2,0
ZNF100,0,2,3
ZNF12,5,0,0
ZNF207,1,2,2
ZNF235,2,1,2
ZNF254,0,3,2
ZNF26,2,3,0
ZNF280D,0,3,2
ZNF385D,0,3,2
ZNF398,2,2,1
ZNF43,0,1,4
ZNF436,0,4,1
ZNF462,0,0,5
ZNF518A,0,3,2
ZNF519,0,2,3
ZNF562,1,2,2
ZNF586,0,3,2
ZNF644,0,3,2
ZNF69,0,2,3
ZNF697,2,2,1
ZNF704,0,2,3
ZNF711,0,1,4
ZNF721,0,3,2
ZNF814,0,1,4
ZNF83,0,2,3
ZNF875,1,3,1
ZNF90,0,3,2
ZNF91,0,3,2
ZNF98,3,1,1
