"","hgnc_symbol","gene_biotype"
"1","MT-ND1","protein_coding"
"2","MT-ND2","protein_coding"
"3","MT-CO1","protein_coding"
"4","MT-CO2","protein_coding"
"5","MT-ATP8","protein_coding"
"6","MT-ATP6","protein_coding"
"7","MT-CO3","protein_coding"
"8","MT-ND3","protein_coding"
"9","MT-ND4L","protein_coding"
"10","MT-ND4","protein_coding"
"11","MT-ND5","protein_coding"
"12","MT-ND6","protein_coding"
"13","MT-CYB","protein_coding"
"15","MAFIP","protein_coding"
"16","SYT15B","protein_coding"
"17","NPY4R2","protein_coding"
"18","FAM25C","protein_coding"
"19","FAM20C","protein_coding"
"20","PRAMEF11","protein_coding"
"21","ECSCR","protein_coding"
"22","HNRNPCL1","protein_coding"
"23","PRAMEF2","protein_coding"
"24","SMIM33","protein_coding"
"25","PRAMEF4","protein_coding"
"26","STING1","protein_coding"
"27","PRAMEF10","protein_coding"
"28","PRAMEF7","protein_coding"
"29","PRAMEF6","protein_coding"
"30","PRAMEF27","protein_coding"
"31","ARHGEF19","protein_coding"
"32","HNRNPCL3","protein_coding"
"33","PRAMEF25","protein_coding"
"34","CPLANE2","protein_coding"
"35","FBXO42","protein_coding"
"36","SZRD1","protein_coding"
"37","HNRNPCL2","protein_coding"
"38","SPATA21","protein_coding"
"39","PRAMEF26","protein_coding"
"40","HNRNPCL4","protein_coding"
"41","NECAP2","protein_coding"
"42","PRAMEF9","protein_coding"
"43","PRAMEF13","protein_coding"
"44","PRAMEF18","protein_coding"
"45","PRAMEF5","protein_coding"
"46","PRAMEF8","protein_coding"
"47","PRAMEF33","protein_coding"
"48","PRAMEF22","protein_coding"
"49","PADI2","protein_coding"
"50","OR8J2","protein_coding"
"51","OR5T2","protein_coding"
"52","OR5T3","protein_coding"
"53","OR5T1","protein_coding"
"54","NBPF1","protein_coding"
"55","OR8H1","protein_coding"
"56","OR8K3","protein_coding"
"57","OR8K1","protein_coding"
"58","OR8J1","protein_coding"
"59","OR8U8","protein_coding"
"60","OR8U9","protein_coding"
"61","ACTG1","protein_coding"
"62","BAHCC1","protein_coding"
"63","BCL2L14","protein_coding"
"64","LRP6","protein_coding"
"65","OR9G1","protein_coding"
"66","OR9G9","protein_coding"
"67","OR9G4","protein_coding"
"68","OR5G3","protein_coding"
"69","MANSC1","protein_coding"
"70","BORCS5","protein_coding"
"71","DUSP16","protein_coding"
"72","TOLLIP","protein_coding"
"73","BRSK2","protein_coding"
"74","DUSP8","protein_coding"
"75","KRTAP5-1","protein_coding"
"76","KRTAP5-2","protein_coding"
"77","KRTAP5-3","protein_coding"
"78","KRTAP5-4","protein_coding"
"79","KRTAP5-5","protein_coding"
"80","MOB2","protein_coding"
"81","PPP2R3B","protein_coding"
"82","IL3RA","protein_coding"
"83","P2RY8","protein_coding"
"84","SLC25A6","protein_coding"
"85","DHRSX","protein_coding"
"86","ASMTL","protein_coding"
"87","PLCXD1","protein_coding"
"88","ZBED1","protein_coding"
"89","CD99","protein_coding"
"90","SHOX","protein_coding"
"91","CRLF2","protein_coding"
"92","AKAP17A","protein_coding"
"93","ASMT","protein_coding"
"94","CSF2RA","protein_coding"
"95","C1R","protein_coding"
"96","GRK1","protein_coding"
"97","C1RL","protein_coding"
