name,log2FC,Pval,FDR,comparison,cell_type,label,diffaccessible,dalabel
LINC02593,-0.0256794267178753,0.77833884071274,0.939383431441184,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
SAMD11,-0.0405537900001533,0.970445608368211,0.992290306688035,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
NOC2L,-0.0617420741368006,0.323038028739616,0.702710161265143,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
KLHL17,-0.0565848064503617,0.429781120827819,0.776616110567129,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
PLEKHN1,-0.0649384466449124,0.281002118253984,0.666103385722121,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
ISG15,-0.0561402056537581,0.68576921673938,0.906767656042164,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
HES4,-0.0719261326367293,0.473821981552543,0.800973113918195,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
AGRN,-0.00238711246635902,0.169497506030139,0.537575344212303,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
RNF223,-0.0498667657350099,0.530789455794169,0.838181841276546,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
C1orf159,0.00827042331157009,0.732042764884294,0.923247275677001,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
LINC01342,0.00727931977603705,0.913031385112291,0.978176038066901,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
MIR200B,0.0476948046446257,0.194417251412387,0.573681174444606,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
TTLL10,0.115388603614965,0.0116584445916168,0.139789503496605,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
TNFRSF18,0.0160651261695281,0.698406257844798,0.91129131318856,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
SDF4,0.0167228374652102,0.403218484191561,0.760872414277194,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
B3GALT6,0.0161157511514674,0.35598837462011,0.731441713928173,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
UBE2J2,0.0479123236405332,0.144511476802694,0.502796773298731,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
