"Gene","Category"
"AR","All TFs"
"ARID3A","All TFs"
"ARNT2","All TFs"
"ARX","All TFs"
"ASCL1","All TFs"
"ATF3","All TFs"
"ATF6","All TFs"
"ATF7","All TFs"
"BACH1","All TFs"
"BACH2","All TFs"
"BCL11A","All TFs"
"BCL6","All TFs"
"BHLHE40","All TFs"
"BHLHE41","All TFs"
"BNC2","All TFs"
"BRCA1","All TFs"
"CEBPB","All TFs"
"CEBPD","All TFs"
"CEBPG","All TFs"
"CEBPZ","All TFs"
"CHD1","All TFs"
"CHD2","All TFs"
"CHURC1","All TFs"
"CPEB1","All TFs"
"CPSF4","All TFs"
"CREB5","All TFs"
"CREM","All TFs"
"CUX1","All TFs"
"CUX2","All TFs"
"DLX1","All TFs"
"DRAP1","All TFs"
"E2F1","All TFs"
"E2F2","All TFs"
"E2F3","All TFs"
"E2F7","All TFs"
"E2F8","All TFs"
"EGR1","All TFs"
"EGR2","All TFs"
"EGR3","All TFs"
"ELF2","All TFs"
"ELK3","All TFs"
"EP300","All TFs"
"ETS1","All TFs"
"ETS2","All TFs"
"ETV1","All TFs"
"ETV5","All TFs"
"ETV6","All TFs"
"EZH2","All TFs"
"FLI1","All TFs"
"FOS","All TFs"
"FOSB","All TFs"
"FOSL1","All TFs"
"FOSL2","All TFs"
"FOXC1","All TFs"
"FOXG1","All TFs"
"FOXN2","All TFs"
"FOXO1","All TFs"
"FOXO3","All TFs"
"GATAD1","All TFs"
"GATAD2A","All TFs"
"GLI3","All TFs"
"GLIS3","All TFs"
"GMEB1","All TFs"
"HAND2","All TFs"
"HBP1","All TFs"
"HDAC2","All TFs"
"HDAC8","All TFs"
"HES1","All TFs"
"HIF1A","All TFs"
"HMGA1","All TFs"
"HMGA2","All TFs"
"HMGXB3","All TFs"
"HNF4G","All TFs"
"HOXB3","All TFs"
"HOXD10","All TFs"
"HOXD3","All TFs"
"HTATIP2","All TFs"
"ID4","All TFs"
"IKZF1","All TFs"
"IKZF2","All TFs"
"IKZF3","All TFs"
"ILF3","All TFs"
"IRF1","All TFs"
"IRF5","All TFs"
"IRF8","All TFs"
"JDP2","All TFs"
"JUN","All TFs"
"JUNB","All TFs"
"KLF10","All TFs"
"KLF12","All TFs"
"KLF2","All TFs"
"KLF6","All TFs"
"KLF7","All TFs"
"KLF9","All TFs"
"LEF1","All TFs"
"LHX2","All TFs"
"LHX6","All TFs"
"LIN28B","All TFs"
"MAF","All TFs"
"MAFB","All TFs"
"MAFF","All TFs"
"MAFG","All TFs"
"MECP2","All TFs"
"MEF2A","All TFs"
"MEF2C","All TFs"
"MEIS1","All TFs"
"MEOX2","All TFs"
"MITF","All TFs"
"MSX1","All TFs"
"MTA3","All TFs"
"MXD1","All TFs"
"MXI1","All TFs"
"NCALD","All TFs"
"NEUROD2","All TFs"
"NF1","All TFs"
"NFATC2","All TFs"
"NFATC3","All TFs"
"NFE2L2","All TFs"
"NFIA","All TFs"
"NFIB","All TFs"
"NFIC","All TFs"
"NFIX","All TFs"
"NKX6-2","All TFs"
"NR2F1","All TFs"
"NR3C1","All TFs"
"NR3C2","All TFs"
"OLIG1","All TFs"
"OLIG2","All TFs"
"PBX1","All TFs"
"PBX3","All TFs"
"PDLIM5","All TFs"
"PHF20","All TFs"
"PHTF1","All TFs"
"PIR","All TFs"
"PLAG1","All TFs"
"PLAGL1","All TFs"
"PML","All TFs"
"POLR3A","All TFs"
"POU2F2","All TFs"
"POU3F2","All TFs"
"POU6F2","All TFs"
"PRDM16","All TFs"
"PRRX1","All TFs"
"RB1","All TFs"
"RCOR1","All TFs"
"RFX2","All TFs"
"RFX3","All TFs"
"RFX4","All TFs"
"RFX7","All TFs"
"RORA","All TFs"
"RUNX1","All TFs"
"RXRA","All TFs"
"RXRG","All TFs"
"SF1","All TFs"
"SMAD1","All TFs"
"SMAD2","All TFs"
"SMAD3","All TFs"
"SMARCC1","All TFs"
"SOX10","All TFs"
"SOX11","All TFs"
"SOX13","All TFs"
"SOX2","All TFs"
"SOX4","All TFs"
"SOX5","All TFs"
"SOX6","All TFs"
"SOX9","All TFs"
"SP3","All TFs"
"SPI1","All TFs"
"SREBF1","All TFs"
"SREBF2","All TFs"
"STAT1","All TFs"
"STAT2","All TFs"
"STAT6","All TFs"
"TAL1","All TFs"
"TBX15","All TFs"
"TCF12","All TFs"
"TCF3","All TFs"
"TCF4","All TFs"
"TCF7L1","All TFs"
"TEAD1","All TFs"
"TFAP2A","All TFs"
"TFDP2","All TFs"
"TFEB","All TFs"
"TFEC","All TFs"
"THRB","All TFs"
"TRIM28","All TFs"
"UBE2K","All TFs"
"VSX1","All TFs"
"WT1","All TFs"
"ZBTB20","All TFs"
"ZBTB21","All TFs"
"ZBTB44","All TFs"
"ZBTB7A","All TFs"
"ZEB1","All TFs"
"ZEB2","All TFs"
"ZIC1","All TFs"
"ZNF100","All TFs"
"ZNF12","All TFs"
"ZNF207","All TFs"
"ZNF235","All TFs"
